Chunk ID,Text,Page Range,Line Range,Filename
66,創始者為Doug Cutting，目前為Apache軟體基金會的top level project。,"(4, 4)","(69, 70)",data/report.pdf
67,HDFS(Hadoop Distributed File System) Hadoop專案中的檔案系統。,"(4, 4)","(71, 72)",data/report.pdf
68, 實現類似Google File System 一個易於擴充的分散式檔案系統，目的為對大量資料進行分析。,"(4, 4)","(73, 74)",data/report.pdf
69, 能運作於較為廉價的普通硬體之上，且可提供容錯功能 可給大量用戶提供總體性能較高的服務。,"(4, 4)","(75, 76)",data/report.pdf
70,NutchNutch是一個根基於Lucene Java為了搜尋和索引元件建立的開放原始碼搜尋引擎成果。,"(4, 4)","(77, 79)",data/report.pdf
71,基本上，它是建立在Hadoop之上，利用HDFS作為儲存搜尋索引用的資料庫，並且運用Map/Reduce的分散式運算來搜尋索引，進而搜尋到想要的資料，它即是雲端運算的使用實例。,"(4, 4)","(80, 82)",data/report.pdf
72,由於Nutch為開放原始碼，因此使用者可以任意修改內容，成為客製化的搜尋引擎，人人皆可量身訂做自己獨特風格的搜尋引擎。,"(4, 4)","(83, 84)",data/report.pdf
73,CrawlzillaCrawlzilla為修改Nutch更進階的客製化搜尋引擎，它簡化了安裝步驟流程和設定，使一般使用者可以更方便的進行安裝使用。,"(4, 4)","(85, 87)",data/report.pdf
74,除了增加GUI(Graphical User Interface：圖形使用者介面)管理頁面外，經過國網中心修改，它亦可直接使用繁體中文介面。,"(4, 4)","(88, 89)",data/report.pdf
75,但由於自動設定的地方較多，對於要修改細節部分的使用者反而降低了「客製化」的程度。,"(4, 4)","(90, 91)",data/report.pdf
76,LighttpdLighttpd（發音為lighty）是一套開放原始碼的網頁伺服器，以BSD許可證釋出。,"(4, 4)","(92, 94)",data/report.pdf
77,相較於其他的網頁伺服器，lighttpd僅需少量的記憶體及CPU資源即可達4到同樣的效能。,"(4, 5)","(94, 96)",data/report.pdf
78,,"(5, 5)","(97, 97)",data/report.pdf
79,特色： 提供FastCGI及SCGI的負載平衡 支援chroot 支援select()/poll()及更有效率的kqueue/epoll連線狀態判斷 支援條件重寫（Conditional rewrites） 支援SSL連線 透過LDAP server認證 rrdtool狀態輸出 Rule-based downloading Server-side includes support Virtual hosting Modules support Cache Meta Language Minimal WebDAV support Servlet (AJP) support（1.5.x版後）FFmpegFFmpeg是一個自由軟體(Free Software)，可以執行音訊和視訊多種格式的錄影、轉檔、串流功能，包含了libavcodec ─這是一個用於多個專案中音訊和視訊的解碼器函式庫，以及 libavformat ——一個音訊與視訊格式轉換函式庫。,"(5, 5)","(98, 116)",data/report.pdf
80,"""FFmpeg""這個單詞中的 ""FF"" 指的是 ""Fast Forward""。","(5, 5)","(117, 117)",data/report.pdf
81,"有些新手寫信給""FFmpeg""的項目負責人，詢問FF是不是代表「Fast Free」或者「Fast Fourier」等意思，""FFmpeg""的項目負責人回信說「Just for the record, the original meaning of""FF"" in FFmpeg is ""Fast Forward""...」這個項目最初是由Fabrice Bellard發起的，而現在是由Michael Niedermayer在進行維護。","(5, 5)","(117, 122)",data/report.pdf
82,許多FFmpeg的開發者同時也是MPlayer項目的成員，FFmpeg在MPlayer項目中是被設計為伺服器版本進行開發。,"(5, 5)","(122, 123)",data/report.pdf
83,組成元件： ffmpeg 是一個命令列工具，用來對視訊檔案轉換格式，也支援對電視卡即時編碼 ffserver 是一個 HTTP 多媒體即時廣播串流伺服器，支援時光平移 ffplay 是一個簡單的播放器，基於 SDL 與 FFmpeg 函式庫 libavcodec 包含了全部 FFmpeg 音訊／視訊 編解碼函式庫5 libavformat 包含 demuxers 和 muxer 函式庫 libavutil 包含一些工具函式庫 libpostproc 對於視訊做前處理的函式庫 libswscale 對於影像作縮放的函式庫PHPPHP（PHP：Hypertext Preprocessor）是一種在電腦上執行的腳本語言，主要用途是在於處理動態網頁，也包含了命令列執行介面（command lineinterface），或者產生圖形使用者介面（GUI）程式。,"(5, 6)","(124, 138)",data/report.pdf
84,PHP最早由Rasmus Lerdorf在1995年發明，而現在PHP的標準由PHP Group和開放原始碼社群維護。,"(6, 6)","(139, 140)",data/report.pdf
85,PHP以PHP License作為許可協議，不過因為這個協議限制了PHP名稱的使用，所以和開放原始碼許可協議GPL不相容。,"(6, 6)","(140, 141)",data/report.pdf
86,PHP的應用範圍相當廣泛，尤其是在網頁程式的開發上。,"(6, 6)","(142, 142)",data/report.pdf
87,一般來說PHP大多執行在網頁伺服器上，透過執行PHP程式碼來產生使用者瀏覽的網頁。,"(6, 6)","(142, 143)",data/report.pdf
88,PHP可以在多數的伺服器和作業系統上執行，而且使用PHP完全是免費的。,"(6, 6)","(143, 144)",data/report.pdf
89,根據2007年4月的統計資料，PHP已經被安裝在超過2000萬個網站和100萬台伺服器上。,"(6, 6)","(144, 145)",data/report.pdf
90,PHP原本的簡稱為Personal Home Page，是Rasmus Lerdorf為了要維護個人網頁，而用C語言開發的一些CGI工具程式集，來取代原先使用的Perl程式。,"(6, 6)","(146, 147)",data/report.pdf
91,最初這些工具程式用來顯示Rasmus Lerdorf的個人履歷，以及統計網頁流量。,"(6, 6)","(148, 148)",data/report.pdf
92,他將這些程式和一些表單直譯器整合起來，稱為PHP/FI。,"(6, 6)","(148, 149)",data/report.pdf
93,PHP/FI可以和資料庫連接，產生簡單的動態網頁程式。,"(6, 6)","(149, 150)",data/report.pdf
94,Rasmus Lerdorf在1995年6月8日將PHP/FI公開釋出，希望可以透過社群來加速程式開發與尋找錯誤。,"(6, 6)","(150, 151)",data/report.pdf
95,這個釋出的版本命名為PHP 2，已經有今日PHP的一些雛型，像是類似的變數命名方式、表單處理功能、以及嵌入到HTML中執行的能力。,"(6, 6)","(151, 153)",data/report.pdf
96,程式語法上也類似Perl，有較多的限制，不過更簡單、更有彈性。,"(6, 6)","(153, 154)",data/report.pdf
97,JSPJSP（全稱JavaServer Pages）是由Sun Microsystems公司倡導和許多公司參與共同建立的一種使軟體開發者可以響應用戶端請求，而動態生成HTML、XML或其他格式文檔的Web網頁的技術標準。,"(6, 6)","(155, 158)",data/report.pdf
98,JSP技術是以Java語言作為指令碼語言的，JSP網頁為整個伺服器端的Java函式庫單元提供了一個介面來服務於HTTP的應用程式。,"(6, 6)","(158, 160)",data/report.pdf
99,JSP使Java代碼和特定的預定義動作可以嵌入到靜態頁面中。,"(6, 6)","(161, 161)",data/report.pdf
100,JSP句法增加了被稱為JSP動作的XML標籤，它們用來呼叫內建功能。,"(6, 6)","(161, 162)",data/report.pdf
101,另外，可以建立JSP6標籤函式庫，然後像使用標準HTML或XML標籤一樣使用它們。,"(6, 7)","(162, 164)",data/report.pdf
102,標籤函式庫提供了一種和平台無關的擴充功能伺服器性能的方法。,"(7, 7)","(164, 165)",data/report.pdf
103,JSP被JSP編譯器編譯成Java Servlets。,"(7, 7)","(166, 166)",data/report.pdf
104,一個JSP編譯器可以把JSP編譯成JAVA代碼寫的servlet然後再由JAVA編譯器來編譯成機器碼，也可以直接編譯成二進制碼。,"(7, 7)","(166, 168)",data/report.pdf
105,從架構上說，JSP可以被看作是從Servlets高階提煉而作為JAVA Servlet 2.1API的擴充功能而應用。,"(7, 7)","(169, 170)",data/report.pdf
106,Servlets和JSPs最早都是由Sun Microsystems（昇陽公司）開發的。,"(7, 7)","(170, 171)",data/report.pdf
107,從JSP1.2版本以來，JSP處於Java Community Process（有人譯為：JAVA社群組織）開發模式下。,"(7, 7)","(171, 172)",data/report.pdf
108,JSR-53規定了JSP 1.2和Servlet 2.4的規範，JSR-152規定了JSP 2.0的規範。,"(7, 7)","(172, 173)",data/report.pdf
109,2006年5月，JSP 2.1的規範作為Java EE 5的一部份，在JSR-245中發布。,"(7, 7)","(173, 174)",data/report.pdf
